#RunNumber	RunDate	Meteo_MeanTemperature	Meteo_MeanWindSpeed	Meteo_MeanWindDirection	Meteo_MeanRelativeHumidity	Meteo_MeanPressure	Lidar_Opacity_355nm	Lidar_Opacity_532nm	TC	MeanSystemRate	ZenithEqMeanSystemRate	ZenithEqMeanSystemRate/MeanSystemRate	Telescope	TriggerRate	CorrectedTriggerRate	MedianNSB	NSBRelativeVariation	NSBRelativeDispersion	CTRadiometer_MeanTemp	CTRadiometer_TempRelativeVariation	CTRadiometer_TempRelativeDispersion	MedianScaler	ScalerRelativeVariation	ScalerRelativeDispersion	MedianTriggerRate	TriggerRateVariation	TriggerRateDispersion	Tracking_ZenithMean
66770	2011-08-30_23:12:37	13.31100	1.48437	316.39200	39.25490	825.00600	0.42707	0.06206	0.85325	116.91300	137.06800	1.17240	1.00000	101.36700	101.77200	0.56085	-4.10886	3.27084	-44.19030	1.69869	0.37842	53.00240	4.17569	7.00776	101.24900	-0.24416	2.05535	36.18130
66771	2011-08-30_23:44:30	13.81380	1.05515	302.95500	36.70760	825.00300	0.46852	0.06048	0.83157	118.49000	134.20900	1.13267	1.00000	100.24800	101.01700	0.58821	-2.76225	1.95551	-44.63040	0.47668	0.31428	52.16210	-10.64540	8.01593	100.18500	-1.09777	1.93133	33.33240
66772	2011-08-31_00:14:33	12.96670	0.60192	240.16900	38.68610	825.00000	0.00000	0.00000	0.00000	77.45840	81.16570	1.04786	1.00000	71.57280	79.70850	0.56278	-3.32182	3.25619	-45.80740	0.38248	0.24920	54.93050	-2.45656	6.99345	77.45850	-1.12992	2.08082	23.49230
66773	2011-08-31_00:35:24	12.81590	0.57924	125.10700	38.67420	824.41900	0.44611	0.06183	0.84115	124.63200	129.83400	1.04174	1.00000	100.15600	100.36700	0.58805	11.49370	1.98102	-45.84060	-0.09669	0.30497	57.99690	1.37997	9.02717	100.27600	-1.54689	2.00645	22.29190
66774	2011-08-31_01:05:19	11.99590	0.72561	70.60920	40.99270	824.00200	0.43251	0.06372	0.85030	121.01700	126.49000	1.04523	1.00000	96.65890	97.57390	0.61953	7.70946	2.63121	-45.53020	0.19116	0.29615	62.34280	12.35170	9.85287	96.62360	-0.75170	1.67366	22.94790
66775	2011-08-31_01:35:30	11.98210	0.78213	43.24860	40.73950	824.00500	0.43279	0.06188	0.84701	120.01400	127.30900	1.06079	1.00000	95.43310	97.34230	0.58842	5.65153	2.29033	-45.17850	-1.22560	0.29996	60.01980	-0.36898	9.02128	95.33370	-2.21003	2.22582	25.53380
66776	2011-08-31_02:05:56	11.93710	0.77560	51.83730	40.70400	824.00300	0.44092	0.06373	0.86604	117.65600	124.10900	1.05485	1.00000	97.37640	99.11960	0.61799	-0.20103	3.16463	-45.19100	-0.22863	0.24342	57.61170	1.48503	9.84043	97.09220	-2.84509	2.14160	24.64140
66777	2011-08-31_02:36:47	12.60480	0.41508	65.67920	38.33090	824.00000	0.44083	0.06394	0.82015	116.56300	122.63500	1.05209	1.00000	94.53550	92.87190	0.62729	16.44480	3.96102	-45.14740	0.04291	0.28722	71.70630	-6.02951	7.36163	94.65010	-1.90681	1.82173	24.19460
66778	2011-08-31_03:06:58	10.51510	0.88333	46.42420	45.36210	824.00100	0.45199	0.06285	0.85527	117.89500	123.78400	1.04995	1.00000	93.88600	91.47100	0.64670	5.03472	2.73338	-45.13200	0.04971	0.28192	69.05310	10.38750	7.68437	94.01410	0.87194	1.89827	23.80820
66782	2011-08-31_19:18:11	15.85750	1.66875	269.47500	35.93090	825.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.	1.00000	131.81100	131.16300	1.03450	0.00000	0.00000	-44.85620	0.22049	0.13679	122.33300	-3.33960	6.06930	0.	0.	0.	18.94410
66784	2011-08-31_19:27:49	15.15130	1.08746	255.72400	39.53960	825.00200	0.44113	0.06246	0.83398	169.88000	178.74500	1.05218	1.00000	122.68000	122.06000	0.99246	2.63824	0.66067	-44.44430	-1.02632	0.23043	127.20300	-13.95940	6.60859	122.78000	-4.75224	1.65014	24.12870
66785	2011-08-31_20:00:34	14.82270	1.63190	258.78100	43.31170	825.00400	0.41655	0.06297	0.83867	158.93400	176.36600	1.10968	1.00000	119.21000	121.23200	0.97412	-3.78414	0.51752	-43.86250	-2.15268	0.24028	128.33200	-7.38075	8.15848	118.93300	-4.98132	1.69431	31.24280
66786	2011-08-31_20:30:29	14.78600	1.76811	256.54200	43.10840	825.00200	0.41802	0.06271	0.84729	150.29500	177.11500	1.17844	1.00000	115.02300	114.68400	1.09000	-1.09721	2.29191	-43.21090	-1.46702	0.21410	182.78800	-6.03194	19.50920	115.09900	-4.88748	1.73132	36.49870
66787	2011-08-31_21:03:38	15.01340	1.95576	262.92900	37.27850	825.00300	0.40744	0.06057	0.81875	109.25700	169.47400	1.55115	1.00000	87.69700	88.14520	0.94343	-0.44324	0.84257	-40.18290	-3.45887	0.24574	147.94500	3.89962	5.48429	87.81130	-17.68400	2.21146	50.07410
66788	2011-08-31_21:33:58	14.31530	1.10808	172.56800	35.41330	825.00100	0.43181	0.05871	0.78483	88.21210	165.55400	1.87677	1.00000	72.31470	73.43480	0.95483	-1.13886	1.04887	-38.47880	-5.56591	0.33908	110.74600	-9.64645	9.91390	72.46810	-23.22030	2.47995	55.83010
